station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,19990101,29.3,24,27.3,24,1015.9,24,962.6,24,3.7,24,1.3,24,6.0,999.9,33.3,25.2,0.00F,999.9,000000
066700,99999,19990102,31.7,24,28.9,24,1015.7,24,962.6,24,3.7,24,2.4,24,7.0,999.9,41.0*,21.6,0.00F,999.9,110000
066700,99999,19990103,43.2,24,37.6,24,1015.0,24,963.2,24,10.3,24,9.2,24,19.0,42.0,48.2*,36.5,0.22F,999.9,010000
066700,99999,19990104,48.4,24,41.5,24,1021.2,24,969.7,24,10.0,24,7.2,24,13.0,21.0,53.8,42.3,0.04F,999.9,010000
066700,99999,19990105,44.0,24,39.0,24,1024.4,24,972.2,24,14.5,24,2.1,24,4.1,999.9,53.6,33.8*,0.00F,999.9,000000
066700,99999,19990106,35.3,24,32.8,24,1023.9,24,970.8,24,7.1,24,1.9,24,8.0,999.9,50.0*,26.6*,0.00F,999.9,100000
066700,99999,19990107,42.5,24,34.0,24,1016.2,24,964.3,24,9.4,24,7.2,24,13.0,26.0,52.5*,28.0,0.00F,999.9,010000
066700,99999,19990108,44.6,24,40.6,24,1008.8,24,957.5,24,7.6,24,9.2,24,16.9,27.0,48.2*,39.2*,0.32F,999.9,010000
066700,99999,19990109,38.1,24,33.3,24,1008.9,24,956.9,24,9.7,24,7.0,24,12.0,22.0,41.5,35.1,0.10F,999.9,010000
066700,99999,19990111,34.0,24,31.1,24,1005.4,24,953.2,24,3.6,24,3.6,24,6.0,999.9,35.6*,31.8*,0.08F,1.6,011000
066700,99999,19990112,27.4,24,21.9,24,1018.0,24,964.4,24,6.0,24,4.0,24,8.9,999.9,32.0*,23.0*,0.04F,3.1,001000
066700,99999,19990113,32.7,24,29.4,24,1013.7,24,960.8,24,4.2,24,7.7,24,12.0,19.0,35.6*,21.6,0.04F,4.3,001000
066700,99999,19990114,36.4,24,31.4,24,1016.0,24,963.5,24,6.8,24,7.6,24,15.0,999.9,37.4*,33.8*,0.00E,3.9,011000
066700,99999,19990115,36.3,22,30.4,22,1020.8,22,968.0,22,10.4,22,4.3,22,9.9,999.9,42.8*,30.6*,0.00F,0.4,000000
066700,99999,19990116,38.7,24,26.7,24,1016.5,24,964.2,24,13.3,24,4.2,24,12.0,999.9,51.8*,28.6,0.00F,999.9,000000
066700,99999,19990117,36.1,24,28.5,24,1017.1,24,964.4,24,14.2,24,3.0,24,12.0,999.9,50.0*,26.8,0.00F,999.9,000000
066700,99999,19990118,34.2,23,30.2,23,1025.5,23,972.2,23,7.2,23,0.9,23,6.0,999.9,48.2*,24.3,0.00F,999.9,000000
066700,99999,19990119,29.1,24,28.9,24,1028.5,24,974.5,24,0.4,24,1.0,24,2.9,999.9,33.8*,24.6,0.00F,999.9,111000
066700,99999,19990120,27.6,24,27.1,24,1028.3,24,974.2,24,0.1,24,0.8,24,2.9,999.9,31.3,24.8,0.00F,999.9,110000
066700,99999,19990121,27.0,24,26.1,24,1028.4,24,974.2,24,0.1,24,0.8,24,1.9,999.9,30.2*,24.8,0.00F,999.9,100000
066700,99999,19990122,26.7,19,25.8,19,1028.4,19,974.2,19,0.2,19,0.3,19,1.0,999.9,28.6,23.9*,0.00F,999.9,101000
066700,99999,19990123,27.7,24,27.0,24,1027.5,24,973.4,24,0.3,24,0.8,24,4.1,999.9,32.4,24.6,0.00F,999.9,101000
066700,99999,19990124,31.6,24,27.4,24,1029.2,24,975.4,24,2.7,24,2.4,24,5.1,999.9,42.8*,24.3,0.00F,999.9,101000
066700,99999,19990125,37.5,24,30.7,24,1028.8,24,975.7,24,6.7,24,4.9,24,8.9,999.9,46.4*,26.6,0.00F,999.9,000000
066700,99999,19990126,43.2,24,36.7,24,1017.1,24,965.1,24,8.2,24,6.5,24,9.9,22.0,48.7,38.3*,0.16F,999.9,010000
066700,99999,19990127,36.9,23,32.7,23,1011.5,22,959.2,22,6.9,23,9.0,23,15.9,28.0,39.4*,35.4*,0.04E,999.9,011000
066700,99999,19990128,35.4,23,33.0,23,1011.7,23,959.2,23,4.2,23,7.2,23,12.0,999.9,37.9*,33.3,0.67F,0.8,011000
066700,99999,19990129,31.8,24,25.6,24,1023.4,24,970.0,24,8.6,24,5.9,24,15.9,999.9,35.8*,24.8*,0.12F,999.9,011010
066700,99999,19990130,23.4,24,14.7,24,1036.8,24,981.7,24,9.7,24,4.2,24,8.9,999.9,26.6,17.2,0.00F,999.9,000000
066700,99999,19990131,22.5,24,15.1,24,1038.1,24,982.9,24,7.3,24,6.0,24,12.0,22.0,26.6*,18.7,0.00F,999.9,001000
066700,99999,19990201,22.1,24,13.9,24,1037.6,8,982.3,8,8.7,24,2.8,24,6.0,999.9,28.4*,13.5,0.00F,999.9,000000
066700,99999,19990202,28.1,24,21.6,24,1037.5,8,982.8,8,6.6,24,1.5,24,4.1,999.9,33.8*,19.2,0.00F,999.9,000000
066700,99999,19990203,31.7,24,27.5,24,1039.2,8,984.8,8,3.7,24,1.6,24,4.1,999.9,38.5,24.3,0.00F,999.9,010000
066700,99999,19990204,39.1,24,34.2,24,1033.3,8,980.0,8,5.7,24,3.8,24,11.1,21.0,44.6,32.4,0.02F,999.9,000000
066700,99999,19990205,39.6,23,35.1,23,1019.0,7,966.6,7,7.9,23,10.6,23,15.0,31.1,42.8*,35.6*,0.08E,999.9,010000
066700,99999,19990206,35.1,24,31.9,24,1014.0,8,961.3,8,6.2,24,6.4,24,9.9,999.9,36.3*,33.4*,0.20F,999.9,011010
066700,99999,19990207,33.2,24,31.0,24,1005.0,8,952.7,8,4.3,24,7.8,24,15.9,20.0,36.3,28.4*,0.62F,0.8,011010
066700,99999,19990208,27.7,23,22.7,23,1009.6,5,956.4,5,4.8,23,6.5,23,12.0,999.9,30.2*,25.7,0.02F,4.3,011010
066700,99999,19990209,27.4,24,26.5,24,999.9,5,947.2,5,1.4,24,3.6,24,9.9,999.9,28.4*,23.0*,0.28E,9.4,001000
066700,99999,19990210,21.6,24,19.2,24,1010.0,7,956.2,7,3.8,24,1.1,24,5.1,999.9,30.2*,7.3,0.02F,11.0,101000
066700,99999,19990211,20.9,24,18.4,24,1017.0,8,962.8,8,2.7,24,1.9,24,4.1,999.9,28.4*,10.4*,0.00F,10.2,101000
066700,99999,19990212,14.6,24,9.9,24,1028.2,7,972.6,7,4.2,24,3.8,24,8.9,999.9,21.2*,-2.9,0.00F,9.1,101000
066700,99999,19990213,18.2,24,13.2,24,1031.5,8,976.1,8,4.4,24,5.5,24,8.9,999.9,25.2,1.8,0.00F,8.7,001000
066700,99999,19990214,18.9,24,15.1,24,1032.1,8,976.6,8,3.3,24,1.8,24,5.1,999.9,28.4*,10.9,0.00F,8.7,101000
066700,99999,19990215,18.9,24,14.8,24,1029.7,7,974.5,7,3.8,24,1.7,24,5.1,999.9,32.0*,7.0,0.00F,7.9,101000
066700,99999,19990216,30.8,24,26.5,24,1019.9,8,966.4,8,4.7,24,6.3,24,15.9,26.0,37.6,13.5,0.08F,6.7,011000
066700,99999,19990217,33.6,24,29.5,24,1015.4,8,962.5,8,5.0,24,9.0,24,19.0,35.0,36.3,29.1,0.04F,5.9,011010
066700,99999,19990218,35.3,24,32.9,24,1018.9,8,966.0,8,3.7,24,5.0,24,9.9,999.9,37.6*,30.6,0.20F,6.7,011000
066700,99999,19990219,40.1,24,36.7,24,1023.3,8,970.6,8,6.1,24,8.9,24,13.0,26.0,42.8*,34.9,0.24F,3.5,111000
066700,99999,19990220,43.6,24,40.1,24,1019.6,8,967.5,8,5.5,24,11.8,24,15.9,25.1,44.6*,40.5,0.78F,999.9,010000
066700,99999,19990221,44.2,23,40.4,23,1013.0,8,961.4,8,6.5,23,11.9,23,20.0,35.9,46.4*,41.9*,0.28F,999.9,010000
066700,99999,19990222,36.8,23,33.0,23,1003.7,7,951.8,7,6.0,23,11.8,23,22.0,46.0,44.8*,30.2*,1.02F,0.4,011110
066700,99999,19990223,33.0,24,27.7,24,1012.1,8,959.4,8,6.4,24,10.6,24,18.1,28.0,35.6,30.0,0.04F,0.8,011010
066700,99999,19990224,32.1,24,29.7,24,1014.6,6,961.7,6,3.8,24,4.4,24,8.0,999.9,34.2,30.2*,0.17F,3.5,001000
066700,99999,19990225,30.4,24,27.4,24,1021.4,7,967.8,7,4.7,24,3.1,24,11.1,999.9,33.8*,26.6*,0.08F,2.8,001000
066700,99999,19990226,33.1,24,30.2,24,1023.1,8,969.7,8,2.6,24,1.6,24,5.1,999.9,40.1,24.6,0.00F,1.2,100000
066700,99999,19990227,36.2,24,32.2,24,1018.5,6,965.9,6,2.9,24,2.0,24,6.0,999.9,51.8*,26.1,0.00F,0.8,111000
066700,99999,19990228,37.7,24,35.2,24,1025.0,8,972.0,8,5.4,24,1.9,24,5.1,999.9,43.5,31.8,0.01F,999.9,110000
066700,99999,19990301,39.8,24,35.3,24,1025.8,7,973.0,7,5.5,24,6.8,24,15.0,999.9,47.3,28.9,0.04F,999.9,110000
066700,99999,19990302,48.0,24,41.9,24,1019.0,7,967.4,7,9.2,24,10.2,24,15.0,999.9,52.7,41.7,0.05F,999.9,010000
066700,99999,19990303,48.8,24,39.7,24,1004.9,8,954.2,8,10.6,24,5.9,24,15.0,999.9,57.4,39.4,0.00F,999.9,000000
066700,99999,19990304,37.7,24,35.2,24,996.2,8,944.8,8,5.5,24,4.4,24,9.9,999.9,42.8*,33.1*,0.39F,999.9,011000
066700,99999,19990305,38.2,24,32.9,24,997.1,8,945.6,8,8.4,24,5.9,24,16.9,999.9,43.3,32.9,0.05F,999.9,011000
066700,99999,19990306,36.9,24,32.1,24,1003.2,8,951.3,8,8.8,24,4.4,24,8.9,999.9,42.6,33.1,0.04F,999.9,011010
066700,99999,19990307,36.0,24,29.4,24,1009.1,8,956.8,8,7.8,24,6.0,24,12.0,999.9,42.1,31.6,0.08F,999.9,011000
066700,99999,19990308,36.7,24,26.7,24,1011.4,8,959.1,8,12.1,24,3.8,24,8.0,999.9,45.1,28.2,0.00F,999.9,011000
066700,99999,19990309,45.8,24,37.0,24,1007.8,8,956.5,8,10.2,24,6.6,24,13.0,22.9,55.6,31.6,0.55F,999.9,011000
066700,99999,19990310,48.5,24,36.9,24,1012.1,8,960.9,8,11.8,24,3.5,24,9.9,999.9,56.5,40.5,0.00F,999.9,010000
066700,99999,19990311,45.4,24,42.3,24,1016.5,8,964.8,8,3.5,24,3.7,24,8.0,999.9,49.5,37.4*,0.20F,999.9,110000
066700,99999,19990312,46.2,24,42.3,24,1017.1,8,965.5,8,3.2,24,2.3,24,5.1,999.9,58.1,37.4,0.00F,999.9,100000
066700,99999,19990313,46.5,24,41.0,24,1018.0,6,966.6,6,3.0,23,1.3,24,4.1,999.9,64.4*,34.9,0.00F,999.9,111000
066700,99999,19990314,49.7,24,39.7,24,1021.8,7,970.4,7,6.4,24,1.2,24,4.1,999.9,65.1,32.5,0.00F,999.9,110000
066700,99999,19990315,48.0,24,42.3,24,1026.3,8,974.4,8,4.6,20,3.4,24,9.9,999.9,59.0,34.3,0.00F,999.9,110000
066700,99999,19990316,46.7,24,36.4,24,1026.7,8,974.6,8,4.4,22,5.4,24,12.0,999.9,54.7,37.6,0.00F,999.9,100000
066700,99999,19990317,39.3,24,28.8,24,1027.0,7,974.2,7,5.6,23,8.5,24,18.1,24.1,48.2*,30.9,0.00F,999.9,000000
066700,99999,19990318,36.5,24,27.1,24,1022.9,7,969.9,7,4.8,24,4.0,24,8.0,999.9,47.8,28.6,0.00F,999.9,000000
066700,99999,19990319,36.5,24,31.7,24,1021.9,8,968.9,8,3.5,24,1.7,24,6.0,999.9,42.8*,28.8,0.04F,999.9,010000
066700,99999,19990320,39.2,24,31.0,24,1025.9,8,973.0,8,6.8,24,1.4,24,5.1,999.9,46.8,34.5,0.02F,999.9,011000
066700,99999,19990321,41.4,23,30.8,23,1017.1,8,964.9,8,7.7,23,4.5,23,12.0,22.0,53.6,31.5,0.00F,999.9,010000
066700,99999,19990322,40.8,24,36.5,24,1009.4,8,957.5,8,7.3,24,8.4,24,14.0,23.9,42.8*,39.2*,0.20F,999.9,010000
066700,99999,19990323,39.4,21,33.6,21,1017.9,7,965.5,7,6.7,21,6.5,21,11.1,999.9,42.8*,37.0,0.00E,999.9,111000
066700,99999,19990324,46.5,24,38.0,24,1016.0,6,964.5,6,8.1,24,1.9,24,4.1,999.9,60.8*,30.2*,0.00F,999.9,101000
066700,99999,19990325,47.9,24,33.4,24,1006.9,8,955.8,8,7.4,24,3.9,24,13.0,999.9,66.2,30.2,0.00F,999.9,111000
066700,99999,19990326,50.4,24,39.4,24,1003.5,7,952.7,7,7.9,24,2.7,24,8.0,999.9,59.5,38.8,0.00F,999.9,000000
066700,99999,19990327,41.9,24,39.4,24,1002.4,8,951.1,8,4.8,24,4.2,24,8.0,999.9,44.6,37.0*,0.20F,999.9,110000
066700,99999,19990328,40.1,24,35.7,24,1012.3,7,960.2,7,7.5,24,3.0,24,8.0,999.9,46.4*,33.4,0.00F,999.9,000000
066700,99999,19990329,43.6,23,37.2,23,1020.5,8,968.4,8,6.1,23,2.1,23,5.1,999.9,48.4,39.2*,0.00F,999.9,000000
066700,99999,19990330,46.6,24,39.0,24,1020.9,8,969.2,8,5.0,24,2.6,24,8.0,999.9,54.7,39.2*,0.00F,999.9,000000
066700,99999,19990331,45.0,24,39.3,24,1020.3,8,968.3,8,3.1,23,3.6,24,9.9,999.9,57.2,35.6,0.00F,999.9,000000
066700,99999,19990401,48.1,24,37.7,24,1015.7,6,964.8,6,3.5,23,1.4,24,5.1,999.9,63.7,32.0*,0.00H,999.9,110000
066700,99999,19990402,50.6,24,40.1,24,1017.5,8,966.2,8,6.1,24,3.1,24,11.1,999.9,64.8,35.4,0.00F,999.9,000000
066700,99999,19990403,54.5,24,44.9,24,1022.3,8,971.2,8,8.2,24,2.6,24,8.0,999.9,64.9,44.6,0.00F,999.9,000000
066700,99999,19990404,53.4,24,45.2,24,1026.0,8,974.6,8,9.0,24,4.5,24,13.0,999.9,60.8,48.7,0.02F,999.9,010000
066700,99999,19990405,53.9,23,43.4,23,1029.1,8,977.7,8,9.6,23,1.1,23,4.1,999.9,64.4*,44.1,0.00F,999.9,000000
066700,99999,19990406,57.1,24,43.8,24,1025.3,8,974.3,8,9.7,24,3.4,24,12.0,22.0,69.3,40.3,0.00F,999.9,010000
