station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,20130101,37.4,24,32.5,24,9999.9,0,9999.9,0,5.4,24,6.2,24,13.0,21.0,44.6*,25.7,0.16F,999.9,010000
066700,99999,20130102,35.7,24,31.7,24,9999.9,0,9999.9,0,6.6,24,2.5,24,7.0,999.9,42.8*,26.6*,0.04F,999.9,010000
066700,99999,20130103,33.9,24,30.4,24,9999.9,0,9999.9,0,5.0,24,2.6,24,5.1,999.9,39.2*,25.7,0.03F,999.9,111000
066700,99999,20130104,41.8,24,36.3,24,9999.9,0,9999.9,0,7.4,24,3.1,24,6.0,999.9,45.5,37.4*,0.00F,999.9,010000
066700,99999,20130105,43.5,24,39.5,24,9999.9,0,9999.9,0,7.0,24,3.9,24,8.9,999.9,46.4*,39.2*,0.00F,999.9,000000
066700,99999,20130106,39.7,24,36.8,24,9999.9,0,9999.9,0,7.2,24,3.4,24,8.0,16.9,41.5,35.6*,0.00F,999.9,000000
066700,99999,20130107,38.3,24,35.3,24,9999.9,0,9999.9,0,4.5,24,3.4,24,7.0,999.9,41.7,35.2,0.00F,999.9,000000
066700,99999,20130108,36.2,24,31.7,24,9999.9,0,9999.9,0,4.1,24,3.9,24,7.0,999.9,42.8*,28.4*,0.00F,999.9,100000
066700,99999,20130109,31.7,24,29.9,24,9999.9,0,9999.9,0,1.7,24,2.7,24,6.0,999.9,34.5,29.1,0.00F,999.9,100000
066700,99999,20130110,35.0,24,32.8,24,9999.9,0,9999.9,0,3.4,23,4.1,24,8.9,999.9,38.5,31.1,0.18F,999.9,011000
066700,99999,20130111,35.9,24,33.0,24,9999.9,0,9999.9,0,4.7,23,2.6,24,6.0,999.9,38.1,32.0*,0.35F,999.9,011000
066700,99999,20130112,34.8,24,29.0,24,9999.9,0,9999.9,0,6.8,24,2.7,24,5.1,999.9,41.0*,30.2*,0.00F,999.9,011000
066700,99999,20130113,32.8,24,29.5,24,9999.9,0,9999.9,0,3.3,24,3.3,24,8.0,999.9,35.6,30.0,0.03F,0.4,001000
066700,99999,20130114,31.5,24,27.7,24,9999.9,0,9999.9,0,3.4,24,3.1,24,7.0,999.9,33.1,30.2*,0.00F,999.9,001000
066700,99999,20130115,30.1,24,26.1,24,9999.9,0,9999.9,0,4.8,24,3.4,24,7.0,999.9,33.8*,24.4,0.02F,0.4,001000
066700,99999,20130116,26.9,24,18.7,24,9999.9,0,9999.9,0,6.9,24,4.3,24,9.9,999.9,31.3*,24.3*,0.00F,0.4,001000
066700,99999,20130117,24.5,24,21.2,24,9999.9,0,9999.9,0,1.7,24,2.5,24,6.0,999.9,27.3,19.4*,0.12F,4.7,001000
066700,99999,20130118,18.5,24,14.3,24,9999.9,0,9999.9,0,2.5,24,2.2,24,8.9,999.9,26.6*,8.6*,0.02F,4.7,101000
066700,99999,20130119,25.7,24,20.6,24,9999.9,0,9999.9,0,3.1,24,3.7,24,8.9,999.9,29.5*,21.2*,0.08F,3.9,011000
066700,99999,20130120,29.6,24,25.7,24,9999.9,0,9999.9,0,2.5,24,4.5,24,8.9,15.0,33.3*,28.0*,0.04F,3.1,001000
066700,99999,20130121,31.3,24,27.2,24,9999.9,0,9999.9,0,4.9,24,4.3,24,8.0,999.9,34.3,28.4*,0.04F,3.9,001000
066700,99999,20130122,32.5,24,28.5,24,9999.9,0,9999.9,0,5.6,24,3.1,24,9.9,999.9,37.4*,21.0*,0.04F,2.0,111000
066700,99999,20130123,25.7,24,24.0,24,9999.9,0,9999.9,0,1.1,24,3.4,24,7.0,999.9,31.5,19.2,0.00F,1.6,100000
066700,99999,20130124,29.0,24,24.5,24,9999.9,0,9999.9,0,4.7,24,3.9,24,8.0,999.9,32.0*,24.3,0.00F,2.0,100000
066700,99999,20130125,28.6,24,21.6,24,9999.9,0,9999.9,0,3.7,24,4.5,24,8.9,999.9,30.6,24.8*,0.00F,1.6,001000
066700,99999,20130126,26.4,24,18.9,24,9999.9,0,9999.9,0,4.1,24,3.2,24,7.0,999.9,33.8*,21.9,0.00F,1.2,000000
066700,99999,20130127,31.2,24,23.2,24,9999.9,0,9999.9,0,5.3,24,3.9,24,7.0,999.9,39.2*,21.9,0.02F,1.2,011000
066700,99999,20130128,34.7,24,32.6,24,9999.9,0,9999.9,0,4.1,24,3.3,24,6.0,999.9,41.0*,30.2*,0.20F,0.8,111000
066700,99999,20130129,41.0,24,33.8,24,9999.9,0,9999.9,0,6.5,24,8.8,24,14.0,999.9,44.6*,30.9,0.28F,0.4,010000
066700,99999,20130130,50.7,24,43.9,24,9999.9,0,9999.9,0,7.0,24,12.2,24,16.9,29.9,55.4,41.9,0.28F,999.9,010000
066700,99999,20130131,45.7,24,33.8,24,9999.9,0,9999.9,0,8.5,24,9.4,24,20.0,32.1,51.8*,35.4*,0.16F,999.9,010000
066700,99999,20130201,46.2,24,41.1,24,9999.9,0,9999.9,0,7.3,24,9.5,24,18.1,28.0,50.0*,42.8*,0.12E,999.9,010000
066700,99999,20130202,39.1,24,33.5,24,9999.9,0,9999.9,0,6.3,24,7.4,24,14.0,21.0,50.0*,32.0*,0.44F,999.9,011000
066700,99999,20130203,33.8,24,27.3,24,9999.9,0,9999.9,0,6.9,24,6.2,24,12.0,999.9,37.8,30.2*,0.08F,0.4,001000
066700,99999,20130204,36.9,24,32.5,24,9999.9,0,9999.9,0,5.9,24,10.0,24,15.9,22.0,44.6*,31.8,0.16F,1.6,011000
066700,99999,20130205,40.4,24,34.2,24,1010.8,4,959.3,4,5.7,22,10.9,24,22.0,34.0,46.4*,32.0*,0.38F,1.2,011000
066700,99999,20130206,32.7,24,28.1,24,9999.9,0,9999.9,0,5.2,23,6.5,24,12.0,16.9,34.3,30.2*,0.10F,2.8,011000
066700,99999,20130207,31.4,24,27.6,24,9999.9,0,9999.9,0,4.3,24,5.1,24,8.9,999.9,35.1,27.3*,0.07F,4.3,001000
066700,99999,20130208,30.9,24,26.2,24,9999.9,0,9999.9,0,5.4,23,4.7,24,9.9,999.9,33.8*,28.4*,0.04F,5.5,001000
066700,99999,20130209,26.5,24,22.2,24,9999.9,0,9999.9,0,4.8,24,3.2,24,8.9,999.9,30.9,23.0*,0.01E,6.7,001000
066700,99999,20130210,23.1,24,16.6,24,9999.9,0,9999.9,0,6.2,24,3.3,24,7.0,999.9,27.5,15.8*,0.00F,4.7,000000
066700,99999,20130211,26.2,24,20.6,24,9999.9,0,9999.9,0,4.2,24,3.7,24,6.0,999.9,30.2*,16.2,0.03F,4.7,001000
066700,99999,20130212,26.7,24,21.6,24,9999.9,0,9999.9,0,2.4,24,2.9,24,7.0,999.9,28.4*,24.8*,0.02E,5.1,001000
066700,99999,20130213,26.0,24,17.5,24,9999.9,0,9999.9,0,4.9,24,3.8,24,9.9,999.9,30.2*,13.8*,0.00F,5.1,001000
066700,99999,20130214,21.4,24,15.3,24,9999.9,0,9999.9,0,3.1,23,1.6,24,6.0,999.9,32.0*,8.4*,0.00H,5.1,001000
066700,99999,20130215,33.8,24,31.1,24,9999.9,0,9999.9,0,3.2,24,3.8,24,8.9,999.9,37.4*,25.5,0.12F,4.3,011000
066700,99999,20130216,34.0,24,30.6,24,9999.9,0,9999.9,0,4.4,24,2.9,24,7.0,999.9,38.1,26.2*,0.00F,1.6,100000
066700,99999,20130217,34.2,23,28.4,23,9999.9,0,9999.9,0,5.3,23,4.8,23,15.0,999.9,37.4*,24.8,0.00F,999.9,100000
066700,99999,20130218,33.8,24,25.6,24,9999.9,0,9999.9,0,6.4,24,3.8,24,8.0,999.9,39.6,24.8*,0.00F,999.9,000000
066700,99999,20130219,32.4,24,24.7,24,9999.9,0,9999.9,0,4.3,24,3.3,24,8.0,999.9,42.8*,22.3,0.00F,999.9,011000
066700,99999,20130220,32.7,24,26.9,24,9999.9,0,9999.9,0,4.6,24,5.0,24,13.0,999.9,35.6*,29.5*,0.02F,999.9,011000
