station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,19820101,37.9,24,37.0,24,9999.9,0,9999.9,0,4.4,24,6.1,24,14.0,999.9,44.6*,33.8*,0.16F,999.9,110000
066700,99999,19820102,38.9,24,33.1,24,9999.9,0,9999.9,0,7.2,24,7.2,24,15.0,999.9,44.6*,33.8*,99.99,999.9,010000
066700,99999,19820103,39.2,24,30.9,24,9999.9,0,9999.9,0,6.8,24,3.6,24,7.0,999.9,50.0*,32.0*,0.00I,999.9,000000
066700,99999,19820104,43.1,24,37.1,24,9999.9,0,9999.9,0,7.4,24,7.8,24,15.0,32.8,48.2*,33.8*,0.08E,999.9,010000
066700,99999,19820105,47.4,24,39.9,24,9999.9,0,9999.9,0,7.5,24,13.6,24,24.9,49.9,50.0*,44.6,0.02E,999.9,010000
066700,99999,19820106,39.9,23,36.3,23,9999.9,0,9999.9,0,6.7,23,13.6,23,19.8,31.9,46.4*,24.8*,0.35A,999.9,011000
066700,99999,19820107,20.7,24,10.5,24,9999.9,0,9999.9,0,7.0,24,8.8,24,15.0,22.0,24.6*,17.6*,0.00I,999.9,000000
066700,99999,19820108,19.8,24,16.8,24,9999.9,0,9999.9,0,3.2,24,5.7,24,12.8,999.9,24.8*,17.8,0.31E,5.5,011000
066700,99999,19820109,36.7,24,33.9,24,9999.9,0,9999.9,0,5.4,24,5.2,24,14.0,24.1,44.6*,23.4*,0.08E,999.9,010000
066700,99999,19820110,25.3,24,24.4,24,9999.9,0,9999.9,0,3.2,24,4.7,24,9.9,999.9,36.7*,20.1*,0.55F,6.7,011000
066700,99999,19820111,28.5,24,28.0,24,9999.9,0,9999.9,0,1.9,24,3.2,24,5.8,999.9,33.8*,21.0*,0.20F,6.3,010000
066700,99999,19820112,30.7,24,29.5,24,9999.9,0,9999.9,0,1.8,24,6.4,24,11.8,999.9,34.2,24.8*,0.24F,5.9,011000
066700,99999,19820113,21.3,24,19.4,24,9999.9,0,9999.9,0,2.0,24,6.3,24,10.9,999.9,25.7*,17.6*,0.00I,5.9,000000
066700,99999,19820114,19.3,24,18.3,24,9999.9,0,9999.9,0,1.7,24,5.8,24,8.0,999.9,32.0,17.6,0.00I,5.9,000000
066700,99999,19820115,19.3,24,18.6,24,9999.9,0,9999.9,0,1.5,24,3.8,24,5.8,999.9,24.1*,17.6*,0.00I,5.5,100000
066700,99999,19820116,20.3,24,20.2,24,9999.9,0,9999.9,0,0.7,24,2.6,24,4.9,999.9,25.2,15.6,0.00I,5.5,100000
066700,99999,19820117,23.0,24,22.9,24,9999.9,0,9999.9,0,0.2,24,1.9,24,3.9,999.9,25.5,20.7,0.00I,5.5,100000
066700,99999,19820118,22.1,24,22.0,24,9999.9,0,9999.9,0,0.3,24,2.4,24,4.9,999.9,27.0,19.4*,0.00I,5.5,100000
066700,99999,19820119,21.0,24,20.8,24,9999.9,0,9999.9,0,0.4,23,2.5,24,4.9,999.9,25.2,17.6*,0.00I,5.5,100000
066700,99999,19820120,19.4,24,19.3,24,9999.9,0,9999.9,0,0.5,24,3.5,24,5.8,999.9,23.0*,17.6*,99.99,5.5,101000
