station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,19980101,33.4,21,32.4,21,1018.2,21,965.2,21,1.2,21,1.7,21,7.0,999.9,40.6,26.8,99.99,999.9,111000
066700,99999,19980102,43.4,24,39.1,24,1006.7,24,955.3,24,8.9,24,6.6,24,15.0,26.0,48.7,33.3,0.16F,999.9,010000
066700,99999,19980103,43.8,23,36.8,23,1011.1,23,959.5,23,11.1,23,9.3,23,20.0,34.0,48.2*,39.2*,0.02E,999.9,010000
066700,99999,19980104,44.1,20,32.7,20,1012.9,19,961.4,19,11.7,20,9.0,20,15.9,46.0,48.2*,37.4*,0.31C,999.9,010000
066700,99999,19980105,43.7,23,31.2,23,1013.0,23,961.3,23,9.5,23,11.6,23,19.0,42.9,50.0*,35.1,0.67E,999.9,011000
066700,99999,19980106,41.5,22,37.4,22,1018.1,22,965.9,22,6.9,22,8.5,22,19.0,41.0,43.3,39.2*,0.55F,999.9,010000
066700,99999,19980107,48.4,23,40.9,23,1021.8,23,970.2,23,11.1,23,7.4,23,9.9,999.9,53.6*,39.9,0.02E,999.9,010000
066700,99999,19980108,43.7,22,36.5,22,1029.9,22,977.4,22,11.2,22,3.0,22,5.1,999.9,53.6,32.7,0.00D,999.9,000000
066700,99999,19980109,38.5,24,30.8,24,1034.7,24,981.4,24,11.7,24,1.9,24,6.0,999.9,51.8*,30.2*,0.00D,999.9,000000
066700,99999,19980110,31.6,21,29.7,21,1033.5,21,979.5,21,3.1,21,1.6,21,2.9,999.9,43.3,25.2,0.00D,999.9,101000
066700,99999,19980111,29.1,22,27.8,22,1028.2,22,974.2,22,1.4,22,0.5,22,2.9,999.9,42.4,23.4,0.00H,999.9,111000
066700,99999,19980112,30.4,23,28.7,23,1024.6,23,970.9,23,1.0,23,1.2,23,4.1,999.9,42.8*,23.9,0.00H,999.9,111000
066700,99999,19980113,31.2,22,30.2,22,1016.6,22,963.4,22,1.1,22,1.6,22,4.1,999.9,41.0*,24.8*,0.00H,999.9,101000
066700,99999,19980114,36.2,23,33.6,23,1018.0,23,965.4,23,3.2,23,3.6,23,8.0,999.9,44.6*,26.6*,0.02E,999.9,111000
066700,99999,19980115,38.4,23,34.7,23,1025.1,23,972.3,23,5.6,23,2.5,23,5.1,999.9,43.9,32.0*,0.00E,999.9,110000
066700,99999,19980116,41.1,22,37.3,22,1016.5,22,964.4,22,5.8,22,6.7,22,11.1,999.9,42.8*,37.4,0.08E,999.9,010000
066700,99999,19980117,37.9,21,33.7,21,1027.0,21,974.1,21,7.7,21,4.2,21,9.9,999.9,42.8*,26.6*,0.04E,999.9,010000
066700,99999,19980118,32.1,24,28.6,24,1017.5,24,964.4,24,5.8,24,3.8,24,14.0,20.0,42.8*,21.2,0.00H,999.9,111000
066700,99999,19980119,39.7,21,35.4,21,1003.0,20,951.4,20,7.5,21,10.5,21,19.0,36.9,44.2,35.2,0.71F,999.9,010000
066700,99999,19980120,32.9,23,30.2,23,1016.9,23,964.0,23,4.6,23,6.2,23,12.0,999.9,37.4*,30.2*,0.16E,0.4,011000
066700,99999,19980121,33.0,22,30.2,22,1031.0,22,977.3,22,4.8,22,3.6,22,7.0,999.9,35.6*,28.4*,0.08E,2.4,011100
066700,99999,19980122,29.8,24,23.5,24,1028.6,24,974.7,24,7.5,24,7.2,24,12.0,999.9,32.0*,27.1,0.00D,0.8,000000
066700,99999,19980123,31.3,22,23.9,22,1025.9,22,972.3,22,8.0,22,4.0,22,7.0,999.9,32.0*,30.2*,0.00C,0.8,000000
066700,99999,19980124,29.3,23,27.1,23,1022.9,23,969.2,23,2.7,23,2.5,23,6.0,999.9,30.6,28.2,0.00H,0.8,011000
066700,99999,19980125,30.0,22,24.0,22,1023.3,22,969.7,22,5.4,22,7.7,22,12.0,19.0,32.0*,27.9,0.02E,1.2,001000
066700,99999,19980126,26.9,23,19.8,23,1028.6,23,974.4,23,4.2,23,7.3,23,13.0,20.0,30.2*,24.8*,0.00D,1.2,000000
066700,99999,19980127,25.1,21,18.3,21,1024.6,21,970.4,21,3.8,21,3.3,21,11.1,999.9,26.6,23.0*,0.00D,1.2,000000
066700,99999,19980128,27.7,24,24.0,24,1021.7,24,967.9,24,2.8,24,2.4,24,5.1,999.9,32.0*,24.8,0.00D,0.8,000000
066700,99999,19980129,29.6,23,23.6,23,1022.5,23,968.9,23,3.9,23,3.3,23,7.0,999.9,32.0*,26.6*,0.00D,0.4,000000
066700,99999,19980130,27.9,21,22.5,21,1021.3,21,967.5,21,4.4,21,2.4,21,6.0,999.9,30.2*,19.4*,0.00B,0.4,000000
066700,99999,19980131,27.2,19,21.9,19,1018.5,19,964.9,19,3.4,19,4.6,19,12.0,19.0,32.5,16.7,0.00C,0.4,000000
066700,99999,19980201,24.9,24,18.1,24,1017.1,24,963.3,24,5.3,24,4.5,24,13.0,999.9,29.1*,21.2*,0.00D,0.4,000000
066700,99999,19980202,26.6,24,22.6,24,1013.3,24,959.8,24,2.4,24,1.5,24,4.1,999.9,35.6*,16.3,0.00D,0.4,001000
066700,99999,19980203,30.2,23,24.0,23,1013.6,23,960.5,23,4.8,23,2.8,23,6.0,999.9,36.0,21.0,0.00D,999.9,000000
066700,99999,19980204,26.5,24,19.0,24,1014.9,24,961.3,24,5.5,24,3.3,24,7.0,999.9,32.5,21.2*,0.00D,999.9,000000
066700,99999,19980205,24.1,24,20.7,24,1022.9,24,968.7,24,2.2,24,1.2,24,5.1,999.9,34.2,16.3,0.00D,999.9,101000
066700,99999,19980206,24.3,24,21.3,24,1027.3,24,972.8,24,1.1,24,1.4,24,4.1,999.9,33.8*,17.2,0.00H,999.9,101000
066700,99999,19980207,30.1,24,25.6,24,1027.6,24,973.7,24,1.8,24,3.9,24,8.9,999.9,39.2*,20.8,0.00H,999.9,111000
066700,99999,19980208,33.5,24,28.6,24,1033.3,24,979.5,24,4.9,24,1.7,24,8.0,999.9,42.8*,26.6*,0.02E,999.9,000000
066700,99999,19980209,32.2,24,25.0,24,1033.5,20,979.6,20,4.8,24,1.6,24,4.1,999.9,46.4*,21.2*,0.00D,999.9,000000
066700,99999,19980210,36.5,24,26.7,24,1034.4,20,981.1,20,7.3,24,3.0,24,7.0,999.9,53.6,24.6,0.00D,999.9,000000
066700,99999,19980211,38.2,24,28.3,24,1035.4,24,982.1,24,7.5,24,2.1,24,5.1,999.9,55.6,22.1,0.00D,999.9,000000
066700,99999,19980212,40.6,24,29.5,24,1035.8,24,982.7,24,10.6,24,4.5,24,8.9,999.9,55.9,29.1*,0.00D,999.9,000000
066700,99999,19980213,41.8,21,31.7,21,1036.7,21,983.6,21,7.8,21,1.4,21,4.1,999.9,59.0*,26.6*,0.00C,999.9,000000
066700,99999,19980214,41.6,24,35.7,24,1036.1,24,983.0,24,5.3,24,1.7,24,6.0,999.9,57.9,28.6,0.00D,999.9,000000
066700,99999,19980215,39.6,23,35.9,23,1035.1,23,981.9,23,3.5,23,2.0,23,5.1,999.9,57.2*,28.4,0.00H,999.9,110000
066700,99999,19980216,44.0,24,35.9,24,1027.7,24,975.3,24,4.6,24,5.4,24,13.0,999.9,56.3,26.8,0.00H,999.9,101000
066700,99999,19980217,43.0,24,35.5,24,1033.9,24,981.1,24,8.2,24,3.3,24,8.9,999.9,48.6,30.2*,0.00H,999.9,010000
066700,99999,19980218,35.4,24,32.9,24,1037.7,24,983.9,24,2.7,24,1.4,24,5.1,999.9,44.8,25.9,0.00D,999.9,110000
066700,99999,19980219,41.3,24,32.8,24,1033.1,24,980.1,24,5.3,24,4.5,24,9.9,999.9,57.9,25.2,0.00D,999.9,000000
066700,99999,19980220,39.9,24,33.2,24,1027.8,24,975.0,24,3.4,24,0.6,24,2.9,999.9,57.4,25.7,0.00D,999.9,101000
066700,99999,19980221,45.0,24,32.6,24,1022.0,24,970.0,24,4.6,24,2.6,24,8.0,999.9,63.3,29.1,0.00D,999.9,000000
