station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,20120101,47.3,24,43.9,24,9999.9,0,9999.9,0,6.6,24,7.4,24,14.0,22.9,53.6*,39.2*,0.27G,999.9,010000
066700,99999,20120102,43.6,24,39.1,24,1015.3,5,964.2,5,7.0,22,6.9,24,13.0,28.0,50.2,39.2*,0.00G,999.9,010000
066700,99999,20120103,41.1,24,32.7,24,9999.9,0,9999.9,0,7.1,24,7.4,24,18.1,32.1,47.3*,33.8*,0.04E,999.9,000000
066700,99999,20120104,41.8,24,33.4,24,9999.9,0,9999.9,0,7.1,24,10.7,24,19.0,39.0,46.4*,37.4*,0.24F,999.9,010000
066700,99999,20120105,39.5,24,33.1,24,9999.9,0,9999.9,0,6.8,24,15.6,24,25.1,43.9,43.5,35.6*,0.56F,999.9,011110
066700,99999,20120106,36.2,24,31.6,24,9999.9,0,9999.9,0,6.7,24,8.6,24,15.0,34.0,40.5,33.8,0.14F,999.9,011000
066700,99999,20120107,36.3,24,31.8,24,9999.9,0,9999.9,0,6.9,23,8.0,24,15.0,24.1,39.9*,31.6,0.04E,999.9,011000
066700,99999,20120108,39.2,24,35.1,24,9999.9,0,9999.9,0,7.1,24,5.8,24,12.0,24.1,41.7,35.6*,0.20F,999.9,010000
066700,99999,20120109,38.6,24,34.8,24,9999.9,0,9999.9,0,7.2,24,3.9,24,8.0,13.0,42.8*,33.8*,0.01F,999.9,010000
066700,99999,20120110,38.5,24,35.5,24,9999.9,0,9999.9,0,5.8,24,2.5,24,5.1,13.0,46.4*,28.4*,0.01E,999.9,110000
066700,99999,20120111,35.8,24,33.5,24,9999.9,0,9999.9,0,3.2,24,3.1,24,5.1,8.0,37.4*,28.8,0.00I,999.9,000000
066700,99999,20120112,34.1,24,30.6,24,9999.9,0,9999.9,0,4.3,24,4.2,24,8.0,12.0,37.9,32.0*,0.00I,999.9,000000
066700,99999,20120113,34.9,24,31.4,24,9999.9,0,9999.9,0,5.3,24,3.9,24,8.9,15.9,41.5,24.8*,0.00E,999.9,010000
066700,99999,20120114,28.4,24,23.1,24,9999.9,0,9999.9,0,3.7,24,3.2,24,8.0,15.0,38.3,20.5,0.00I,999.9,100000
066700,99999,20120115,28.4,24,21.8,24,9999.9,0,9999.9,0,6.8,24,4.7,24,11.1,22.0,36.1,20.8,0.00I,999.9,000000
066700,99999,20120116,27.7,24,19.8,24,9999.9,0,9999.9,0,6.5,24,4.5,24,9.9,15.9,34.5,19.9*,0.00I,999.9,000000
066700,99999,20120117,25.6,24,20.6,24,9999.9,0,9999.9,0,5.2,24,1.6,24,4.1,14.0,37.4*,17.6,0.00I,999.9,000000
