station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,19660101,44.0,8,39.0,8,1011.5,8,9999.9,0,14.0,8,19.1,8,23.9,999.9,50.0,37.0,0.39F,999.9,010000
066700,99999,19660102,42.9,8,35.7,8,1010.5,8,9999.9,0,17.2,8,18.7,8,27.0,999.9,46.0,41.0,0.13F,999.9,010000
066700,99999,19660103,39.0,8,35.8,8,1010.8,8,9999.9,0,13.3,8,14.6,8,18.1,999.9,41.0,37.0*,0.10F,999.9,010000
066700,99999,19660104,35.2,7,27.1,7,1024.8,7,9999.9,0,13.0,7,6.5,7,9.9,999.9,37.0,30.0*,0.04E,999.9,011000
066700,99999,19660105,29.1,7,22.4,7,1032.9,7,9999.9,0,9.2,7,6.1,7,9.9,999.9,32.0,27.0,0.00I,999.9,000000
066700,99999,19660106,24.9,7,15.9,7,1034.8,7,9999.9,0,10.8,7,7.3,7,9.9,999.9,32.0,21.0,0.00I,999.9,000000
066700,99999,19660107,26.6,7,17.0,7,1032.2,7,9999.9,0,6.9,7,4.4,7,7.0,999.9,30.0,19.0,0.00I,999.9,000000
066700,99999,19660108,27.4,8,21.5,8,1025.7,8,9999.9,0,4.1,8,3.1,8,7.0,999.9,36.0,21.0,0.00I,999.9,000000
066700,99999,19660109,21.7,7,20.9,7,1021.1,7,9999.9,0,1.6,7,4.8,7,9.9,999.9,25.0,16.0,0.00I,999.9,100000
066700,99999,19660110,23.7,6,20.4,6,1019.2,6,9999.9,0,2.2,6,5.3,6,8.0,999.9,27.0,19.0,0.02E,999.9,001000
066700,99999,19660111,22.2,7,19.3,7,1012.6,7,9999.9,0,1.3,7,4.9,7,7.0,999.9,25.0*,21.0,0.28F,999.9,001000
066700,99999,19660112,18.5,6,13.5,6,1015.0,6,9999.9,0,1.8,6,6.7,6,9.9,999.9,19.0,18.0,0.21F,999.9,001000
066700,99999,19660113,11.9,7,9.1,7,1026.9,7,9999.9,0,2.4,7,2.8,7,5.1,999.9,18.0,7.0,0.04F,999.9,001000
066700,99999,19660114,8.8,5,7.2,5,1026.0,5,9999.9,0,1.8,5,0.6,5,2.9,999.9,18.0,3.0,0.04F,999.9,101000
066700,99999,19660115,12.7,4,8.0,4,1020.8,4,9999.9,0,3.2,4,2.8,4,4.1,999.9,18.0,7.0*,0.05F,999.9,001000
066700,99999,19660116,3.3,7,1.4,7,1017.6,7,9999.9,0,2.6,7,1.1,7,2.9,999.9,12.0,-4.0,0.05F,999.9,001000
066700,99999,19660117,7.2,6,4.2,6,1016.7,6,9999.9,0,1.6,6,1.0,6,2.9,999.9,16.0,0.0,0.05F,999.9,001000
066700,99999,19660118,6.5,6,3.0,6,1016.6,6,9999.9,0,2.3,6,3.7,6,8.0,999.9,16.0,-6.0,0.05F,999.9,101000
066700,99999,19660119,10.1,7,6.4,7,1011.7,7,9999.9,0,2.7,7,5.1,7,8.0,999.9,14.0,9.0,0.05F,999.9,001000
066700,99999,19660120,14.7,6,12.0,6,1005.2,6,9999.9,0,1.5,6,3.5,6,6.0,999.9,19.0,7.0,0.06F,999.9,001000
066700,99999,19660121,25.4,8,23.1,8,1003.9,8,9999.9,0,1.7,8,3.2,8,12.0,999.9,37.0,16.0,0.04E,999.9,011000
066700,99999,19660122,34.0,6,32.7,6,998.8,6,9999.9,0,2.8,6,5.0,6,8.0,999.9,36.0,32.0,0.06F,999.9,010000
066700,99999,19660123,40.0,6,36.7,6,999.9,6,9999.9,0,8.7,6,12.1,6,19.0,999.9,41.0,34.0,0.35F,999.9,010000
066700,99999,19660124,36.0,5,35.8,5,1013.9,5,9999.9,0,4.2,5,1.7,5,2.9,999.9,39.0*,32.0*,0.08E,999.9,110000
066700,99999,19660125,34.6,5,32.8,5,1012.3,5,9999.9,0,2.9,5,5.4,5,7.0,999.9,37.0,32.0,0.02E,999.9,100000
066700,99999,19660126,35.7,8,35.1,8,1009.4,8,9999.9,0,2.4,8,3.1,8,5.1,999.9,39.0,34.0,0.22F,999.9,010000
066700,99999,19660127,39.7,8,37.5,8,1016.6,8,9999.9,0,6.6,8,6.1,8,12.0,999.9,45.0,36.0,0.06F,999.9,010000
066700,99999,19660128,39.9,8,33.0,8,1022.8,8,9999.9,0,11.0,8,2.7,8,4.1,999.9,48.0,36.0,0.00I,999.9,000000
066700,99999,19660129,33.4,7,31.7,7,1016.8,7,9999.9,0,4.7,7,2.6,7,4.1,999.9,43.0,30.0,0.00I,999.9,000000
066700,99999,19660130,43.1,7,34.7,7,1017.9,7,9999.9,0,12.3,7,4.4,7,8.0,999.9,52.0,32.0,99.99,999.9,010000
066700,99999,19660131,42.6,7,38.5,7,1019.9,7,9999.9,0,8.4,7,3.3,7,5.1,999.9,48.0,39.0,0.08F,999.9,010000
066700,99999,19660201,43.0,7,40.7,7,1022.2,7,9999.9,0,5.1,7,3.4,7,5.1,999.9,55.0,39.0,0.08E,999.9,110000
066700,99999,19660202,34.4,7,34.4,7,1021.6,7,9999.9,0,0.1,7,1.5,7,2.9,999.9,41.0,32.0,0.05F,999.9,100000
066700,99999,19660203,42.4,7,40.8,7,1020.4,7,9999.9,0,4.1,7,4.3,7,7.0,999.9,45.0,34.0,0.55F,999.9,010000
066700,99999,19660204,42.6,5,41.8,5,1024.5,5,9999.9,0,2.8,5,1.8,5,4.1,999.9,48.0,39.0,0.02E,999.9,110000
066700,99999,19660205,42.8,4,39.2,4,1025.8,4,9999.9,0,8.6,4,5.5,4,9.9,999.9,50.0,36.0,0.05F,999.9,010000
066700,99999,19660206,44.2,4,35.2,4,1018.1,4,9999.9,0,27.2,4,5.1,4,6.0,999.9,55.0,34.0,0.00I,999.9,000000
066700,99999,19660207,45.1,8,40.1,8,1014.7,8,9999.9,0,12.4,8,12.6,8,20.0,999.9,46.0,41.0,0.51F,999.9,010000
066700,99999,19660208,44.0,7,39.4,7,1008.6,7,9999.9,0,13.2,7,10.0,7,19.0,999.9,52.0*,37.0,0.43E,999.9,010000
066700,99999,19660209,48.6,7,46.0,7,1004.2,7,9999.9,0,7.1,7,12.7,7,22.0,999.9,52.0*,46.0*,1.57F,999.9,010000
066700,99999,19660210,44.6,7,38.7,7,1001.4,7,9999.9,0,18.2,7,4.8,7,8.9,999.9,50.0,41.0,0.18F,999.9,010000
066700,99999,19660211,40.6,8,36.2,8,993.5,8,9999.9,0,7.0,8,2.6,8,7.0,999.9,52.0,32.0,0.02E,999.9,100000
066700,99999,19660212,39.1,8,36.7,8,997.4,7,9999.9,0,8.2,8,6.3,8,9.9,999.9,43.0*,34.0*,0.12F,999.9,010000
066700,99999,19660213,37.4,8,34.5,8,992.4,8,9999.9,0,3.4,8,4.0,8,7.0,999.9,41.0,32.0,99.99,999.9,110000
066700,99999,19660214,36.0,7,33.1,7,1006.5,7,9999.9,0,5.1,7,5.6,7,7.0,999.9,37.0,34.0*,0.31F,999.9,010000
066700,99999,19660215,34.9,8,29.8,8,1015.5,8,9999.9,0,6.1,8,3.7,8,9.9,999.9,39.0,32.0,0.00I,999.9,000000
066700,99999,19660216,30.1,7,29.3,7,1007.3,7,9999.9,0,1.6,7,1.7,7,4.1,999.9,36.0,27.0,0.02E,999.9,100000
066700,99999,19660217,36.5,8,34.2,8,1006.8,8,9999.9,0,2.4,8,3.7,8,9.9,999.9,43.0,30.0,0.04E,999.9,110000
066700,99999,19660218,45.4,8,40.3,8,1016.1,8,9999.9,0,8.2,8,3.2,8,8.0,999.9,55.0,41.0,0.08E,999.9,000000
066700,99999,19660219,40.9,8,38.4,8,1010.5,8,9999.9,0,3.0,8,2.3,8,5.1,999.9,50.0,34.0,0.05F,999.9,100000
066700,99999,19660220,39.2,8,35.9,8,1001.6,7,9999.9,0,4.7,8,4.0,8,6.0,999.9,50.0,30.0,0.05F,999.9,100000
066700,99999,19660221,42.0,8,36.5,8,993.2,8,9999.9,0,9.6,8,5.1,8,14.0,999.9,54.0,34.0,99.99,999.9,010000
