station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,19770101,31.8,24,29.1,24,9999.9,0,9999.9,0,4.1,24,4.6,24,8.9,999.9,41.0,24.8,0.00F,999.9,010000
066700,99999,19770102,37.0,24,33.3,24,9999.9,0,9999.9,0,6.7,24,5.3,24,14.0,999.9,44.6*,32.0,0.02F,999.9,111000
066700,99999,19770103,31.6,24,31.5,24,9999.9,0,9999.9,0,2.5,24,2.8,24,7.0,999.9,33.8,28.4,0.00F,999.9,111000
066700,99999,19770104,33.6,24,27.4,24,9999.9,0,9999.9,0,6.6,24,7.6,24,15.0,999.9,35.6*,32.0,0.00F,999.9,000000
066700,99999,19770105,34.5,24,30.4,24,9999.9,0,9999.9,0,3.9,24,5.0,24,11.8,999.9,35.6*,32.0,0.00F,999.9,000000
066700,99999,19770106,33.3,24,30.3,24,9999.9,0,9999.9,0,2.5,24,3.0,24,4.9,999.9,46.4*,30.2*,0.00F,999.9,000000
066700,99999,19770107,30.7,24,29.6,24,9999.9,0,9999.9,0,1.7,24,3.4,24,7.0,999.9,32.0,30.2,0.00F,999.9,100000
066700,99999,19770108,31.9,24,28.3,24,9999.9,0,9999.9,0,2.7,24,3.1,24,7.0,999.9,37.4,28.4*,0.01F,999.9,001000
066700,99999,19770109,30.9,24,28.0,24,9999.9,0,9999.9,0,2.9,24,4.4,24,9.9,999.9,32.0,30.2,0.04F,999.9,001000
066700,99999,19770110,33.0,24,26.7,24,9999.9,0,9999.9,0,6.1,24,7.4,24,16.9,29.9,39.2*,30.2,0.01F,1.2,001000
066700,99999,19770111,31.1,24,29.6,24,9999.9,0,9999.9,0,3.3,24,4.7,24,8.0,999.9,33.8,28.4,0.02F,999.9,001000
066700,99999,19770112,31.5,24,30.3,24,9999.9,0,9999.9,0,2.4,24,4.2,24,8.0,999.9,33.8,28.4*,0.67F,7.9,001000
066700,99999,19770113,23.0,24,22.3,24,9999.9,0,9999.9,0,2.1,24,3.0,24,5.8,999.9,28.4*,14.0*,0.00F,999.9,100000
066700,99999,19770114,24.2,24,24.0,24,9999.9,0,9999.9,0,1.4,24,4.5,24,9.9,19.8,33.8*,17.6*,0.43F,11.8,111000
066700,99999,19770115,31.8,24,29.3,24,9999.9,0,9999.9,0,4.9,24,8.4,24,15.9,19.8,33.8,26.6*,0.24F,13.0,011000
066700,99999,19770116,31.8,24,30.7,24,9999.9,0,9999.9,0,2.4,24,8.6,24,15.9,22.0,33.8,30.2*,0.35F,14.2,001000
066700,99999,19770117,27.2,24,24.9,24,9999.9,0,9999.9,0,4.2,24,3.6,24,7.0,999.9,32.0,15.8*,0.05F,15.0,101000
066700,99999,19770118,20.7,24,19.0,24,9999.9,0,9999.9,0,2.8,24,3.2,24,9.9,999.9,26.6,14.0*,0.00F,999.9,100000
066700,99999,19770119,27.1,24,25.4,24,9999.9,0,9999.9,0,2.5,24,4.6,24,11.8,999.9,35.6,17.6,0.12F,999.9,011000
066700,99999,19770120,33.7,24,32.1,24,9999.9,0,9999.9,0,2.4,24,4.1,24,8.0,999.9,35.6,32.0*,0.00F,999.9,110000
066700,99999,19770121,31.5,24,30.1,24,9999.9,0,9999.9,0,1.6,24,3.4,24,8.0,999.9,33.8,30.2*,0.00F,999.9,100000
066700,99999,19770122,30.4,24,29.2,24,9999.9,0,9999.9,0,1.2,24,3.3,24,7.0,999.9,33.8,28.4,0.02F,999.9,110000
066700,99999,19770123,32.7,24,32.2,24,9999.9,0,9999.9,0,0.7,24,3.0,24,5.8,999.9,37.4,30.2,0.12F,7.1,110000
066700,99999,19770124,32.9,24,32.1,24,9999.9,0,9999.9,0,0.3,24,2.1,24,5.8,999.9,37.4,28.4*,0.00F,999.9,110000
066700,99999,19770125,34.3,22,33.1,22,9999.9,0,9999.9,0,3.0,22,5.8,22,11.8,999.9,42.8,30.2,0.16F,999.9,110000
066700,99999,19770126,40.8,24,36.6,24,9999.9,0,9999.9,0,6.2,24,9.3,24,18.8,29.9,51.8*,37.4*,99.99,999.9,010000
066700,99999,19770127,38.9,24,31.3,24,9999.9,0,9999.9,0,8.6,24,10.0,24,19.8,29.9,44.6,35.6*,0.01F,999.9,010000
066700,99999,19770128,37.2,24,30.6,24,9999.9,0,9999.9,0,7.6,24,3.9,24,9.9,999.9,46.4,32.0*,0.00F,999.9,000000
066700,99999,19770129,36.1,24,32.8,24,9999.9,0,9999.9,0,5.9,24,5.4,24,10.9,999.9,42.8,33.8,0.05F,999.9,011000
066700,99999,19770130,34.1,24,31.0,24,9999.9,0,9999.9,0,6.3,24,4.1,24,9.9,999.9,37.4,30.2*,0.13F,999.9,011000
066700,99999,19770131,32.9,24,32.1,24,9999.9,0,9999.9,0,2.9,24,4.0,24,8.0,999.9,35.6,28.4*,0.02F,999.9,011000
066700,99999,19770201,32.5,24,29.7,24,9999.9,0,9999.9,0,2.9,24,3.9,24,7.0,999.9,35.6,30.2*,0.20G,999.9,001000
066700,99999,19770202,29.6,24,23.8,24,9999.9,0,9999.9,0,5.1,24,4.0,24,7.0,999.9,35.6,24.8*,0.00G,999.9,000000
066700,99999,19770203,27.2,24,24.6,24,9999.9,0,9999.9,0,2.0,24,4.6,24,13.0,999.9,35.6*,17.6*,0.01F,999.9,111000
066700,99999,19770204,40.4,24,36.2,24,9999.9,0,9999.9,0,4.7,24,7.0,24,16.9,999.9,46.4,30.2,0.39F,999.9,010000
066700,99999,19770205,47.9,24,44.1,24,9999.9,0,9999.9,0,5.6,24,10.4,24,17.1,29.9,53.6,41.0,0.98F,999.9,010000
066700,99999,19770206,43.6,24,38.5,24,9999.9,0,9999.9,0,7.1,24,13.5,24,24.1,35.0,48.2*,41.0*,0.47F,999.9,010000
066700,99999,19770207,47.7,24,36.5,24,9999.9,0,9999.9,0,6.3,24,11.2,24,22.0,26.8,55.4,41.0*,0.16F,999.9,010000
066700,99999,19770208,47.0,24,37.4,24,9999.9,0,9999.9,0,8.0,24,18.4,24,28.0,42.9,50.0,42.8*,0.24F,999.9,010000
066700,99999,19770209,42.3,24,41.4,24,9999.9,0,9999.9,0,4.5,24,5.6,24,9.9,999.9,44.6,41.0*,0.63F,999.9,010000
066700,99999,19770210,43.7,24,40.1,24,9999.9,0,9999.9,0,5.5,24,8.1,24,22.9,35.0,48.2,41.0*,1.26F,999.9,010000
066700,99999,19770211,41.9,24,32.5,24,9999.9,0,9999.9,0,7.9,24,9.7,24,22.0,32.8,50.0,33.8*,0.00F,999.9,010000
066700,99999,19770212,38.3,24,34.0,24,9999.9,0,9999.9,0,7.3,24,5.4,24,12.0,999.9,42.8,33.8,0.12F,999.9,010000
066700,99999,19770213,39.5,24,31.8,24,9999.9,0,9999.9,0,7.5,24,4.5,24,9.9,999.9,50.0,30.2*,0.00F,999.9,010000
066700,99999,19770214,32.4,24,28.4,24,9999.9,0,9999.9,0,4.1,24,3.4,24,9.9,999.9,42.8,24.8*,0.00F,999.9,100000
066700,99999,19770215,34.0,24,30.9,24,9999.9,0,9999.9,0,4.0,24,5.7,24,15.0,22.0,42.8,28.4*,0.04F,999.9,111000
066700,99999,19770216,33.7,24,31.4,24,9999.9,0,9999.9,0,6.0,24,6.1,24,19.8,32.8,39.2,30.2,0.24F,999.9,011000
066700,99999,19770217,36.4,24,34.1,24,9999.9,0,9999.9,0,5.5,24,6.1,23,13.0,999.9,41.0,32.0,0.28F,999.9,011000
066700,99999,19770218,44.0,24,37.7,24,9999.9,0,9999.9,0,6.9,24,6.1,24,12.8,23.9,50.0,39.2,0.21F,999.9,010000
066700,99999,19770219,45.6,24,33.7,24,9999.9,0,9999.9,0,6.7,24,7.4,24,17.9,25.8,55.4,33.8*,0.00F,999.9,010000
066700,99999,19770220,46.9,24,36.9,24,9999.9,0,9999.9,0,6.3,24,8.2,24,22.0,25.8,55.4,35.6*,0.00F,999.9,010000
066700,99999,19770221,41.6,24,37.8,24,9999.9,0,9999.9,0,6.5,24,8.2,24,16.9,999.9,46.4,35.6*,1.02F,999.9,010000
066700,99999,19770222,41.5,24,33.9,24,9999.9,0,9999.9,0,7.4,24,6.8,24,15.0,19.8,48.2,33.8*,99.99,999.9,010000
066700,99999,19770223,44.1,24,32.8,24,9999.9,0,9999.9,0,6.8,24,7.0,24,15.0,22.9,55.4,37.4*,0.08F,999.9,010000
066700,99999,19770224,43.5,24,34.5,24,9999.9,0,9999.9,0,8.9,24,3.6,24,17.9,999.9,55.4,33.8*,0.00F,999.9,010000
066700,99999,19770225,40.6,24,36.1,24,9999.9,0,9999.9,0,7.1,24,7.0,24,15.0,999.9,46.4,37.4*,0.13F,999.9,010000
066700,99999,19770226,36.8,24,34.0,24,9999.9,0,9999.9,0,7.3,24,7.0,24,16.9,999.9,42.8,33.8*,0.39F,999.9,011010
066700,99999,19770227,31.9,24,28.0,24,9999.9,0,9999.9,0,5.4,24,4.7,24,11.8,999.9,37.4*,28.4*,0.08F,999.9,011000
066700,99999,19770228,31.3,24,21.6,24,9999.9,0,9999.9,0,6.3,24,3.5,24,9.9,999.9,37.4,24.8*,0.00F,999.9,000000
066700,99999,19770301,31.3,24,23.7,24,9999.9,0,9999.9,0,5.3,24,2.1,24,7.0,999.9,42.8,21.2*,0.00F,999.9,000000
066700,99999,19770302,35.2,24,32.8,24,9999.9,0,9999.9,0,4.5,24,4.4,24,8.0,999.9,41.0,26.6*,0.28F,999.9,010000
066700,99999,19770303,46.8,24,38.4,24,9999.9,0,9999.9,0,6.8,24,6.7,24,15.9,999.9,57.2,37.4,0.00F,999.9,010000
066700,99999,19770304,52.8,24,40.0,24,9999.9,0,9999.9,0,7.1,24,12.2,24,22.0,29.9,62.6,42.8*,0.04F,999.9,010000
066700,99999,19770305,47.9,24,37.9,24,9999.9,0,9999.9,0,7.0,24,5.9,24,13.0,999.9,59.0,37.4*,0.00F,999.9,000000
066700,99999,19770306,44.8,24,33.6,24,9999.9,0,9999.9,0,4.9,24,3.7,24,12.0,999.9,60.8*,32.0*,0.00F,999.9,100000
066700,99999,19770307,44.6,24,35.4,24,9999.9,0,9999.9,0,6.2,24,2.8,24,5.8,999.9,60.8*,33.8*,0.00F,999.9,000000
