station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,19640811,58.6,7,49.3,7,1016.8,7,9999.9,0,11.5,7,3.4,7,7.0,999.9,68.0,48.0,0.05F,999.9,010000
066700,99999,19640812,54.2,8,52.2,8,1012.9,8,9999.9,0,6.2,8,1.6,8,6.0,999.9,57.0,52.0,0.67F,999.9,010000
066700,99999,19640813,55.9,6,49.3,6,1011.7,6,9999.9,0,8.4,6,1.7,6,5.1,999.9,64.0*,48.0*,0.00I,999.9,000000
066700,99999,19640814,62.8,6,52.8,6,1011.6,6,9999.9,0,7.9,6,2.0,6,5.1,999.9,75.0*,54.0*,0.00I,999.9,000000
066700,99999,19640815,62.1,7,54.7,7,1012.4,7,9999.9,0,4.9,7,2.4,7,5.1,999.9,72.0,50.0,0.00I,999.9,000000
066700,99999,19640816,66.4,8,54.1,8,1015.5,8,9999.9,0,10.3,8,2.6,8,7.0,999.9,77.0,54.0,0.00I,999.9,000000
066700,99999,19640817,69.4,7,55.7,7,1008.6,7,9999.9,0,9.7,7,3.6,7,8.0,999.9,84.0,50.0,0.00I,999.9,000000
066700,99999,19640818,60.6,5,57.4,5,1006.3,5,9999.9,0,11.3,5,6.0,5,12.0,999.9,63.0*,59.0*,0.71E,999.9,010010
066700,99999,19640819,59.7,6,51.3,6,1008.5,6,9999.9,0,21.2,6,12.9,6,15.0,999.9,63.0*,57.0,0.02E,999.9,010000
066700,99999,19640820,58.0,6,49.0,6,1016.9,6,9999.9,0,18.6,6,1.1,6,2.9,999.9,66.0*,50.0,0.02E,999.9,000000
066700,99999,19640821,55.3,8,51.5,8,1015.1,8,9999.9,0,8.2,8,2.7,8,7.0,999.9,66.0,45.0,0.04E,999.9,010000
066700,99999,19640822,58.5,8,56.8,8,1015.8,8,9999.9,0,3.9,8,1.4,8,5.1,999.9,63.0,57.0,0.31F,999.9,010000
066700,99999,19640823,60.4,8,53.6,8,1021.6,8,9999.9,0,5.1,8,4.1,8,8.9,999.9,68.0,55.0,0.02E,999.9,010000
066700,99999,19640824,58.8,5,50.4,5,1024.0,5,9999.9,0,6.6,5,3.0,5,6.0,999.9,72.0,48.0*,0.00I,999.9,100000
066700,99999,19640825,62.5,8,52.0,8,1021.8,8,9999.9,0,7.3,8,3.5,8,8.9,999.9,77.0,46.0,0.00I,999.9,100000
066700,99999,19640826,66.2,6,56.0,6,1019.0,6,9999.9,0,5.1,6,2.3,6,4.1,999.9,82.0,50.0,0.00I,999.9,100000
066700,99999,19640827,71.0,8,59.1,8,1019.1,8,9999.9,0,6.1,8,1.9,8,4.1,999.9,88.0,55.0,0.00I,999.9,100000
066700,99999,19640828,73.2,6,61.3,6,1018.8,6,9999.9,0,8.4,6,2.8,6,7.0,999.9,88.0*,61.0*,0.00I,999.9,100000
066700,99999,19640829,65.4,7,59.1,7,1019.2,7,9999.9,0,6.7,7,5.1,7,12.0,999.9,79.0,52.0*,0.81F,999.9,010010
